timestamp,sound,co2,voltage,case_no
2025-10-21 16:59:38,,,23.76,17
2025-10-21 16:59:39,145,,,17
2025-10-21 16:59:40,,,23.74,17
2025-10-21 16:59:40,,,23.76,17
2025-10-21 16:59:41,,,23.74,17
2025-10-21 16:59:42,233,,,17
2025-10-21 16:59:42,,,23.77,17
2025-10-21 16:59:43,,,23.76,17
2025-10-21 16:59:43,,,23.77,17
2025-10-21 16:59:44,,,23.78,17
2025-10-21 16:59:45,,,23.77,17
2025-10-21 16:59:45,115,,,17
2025-10-21 16:59:45,,,23.76,17
2025-10-21 16:59:46,,24.92,,17
2025-10-21 16:59:47,,,23.77,17
2025-10-21 16:59:48,390,,,17
2025-10-21 16:59:49,,,23.78,17
2025-10-21 16:59:49,,24.91,,17
2025-10-21 16:59:50,,,23.76,17
2025-10-21 16:59:50,,,23.78,17
2025-10-21 16:59:51,212,,,17
2025-10-21 16:59:51,,,23.73,17
2025-10-21 16:59:52,,,23.78,17
2025-10-21 16:59:52,,,23.77,17
2025-10-21 16:59:54,148,,,17
2025-10-21 16:59:54,,,23.74,17
2025-10-21 16:59:54,,,23.78,17
2025-10-21 16:59:55,,24.94,,17
2025-10-21 16:59:55,,,23.8,17
2025-10-21 16:59:56,,,23.74,17
2025-10-21 16:59:57,415,,,17
2025-10-21 16:59:57,,,23.77,17
2025-10-21 16:59:58,,24.92,,17
2025-10-21 16:59:59,,,23.76,17
2025-10-21 16:59:59,,,23.77,17
2025-10-21 16:59:59,208,,,17
2025-10-21 17:00:01,,24.94,,17
2025-10-21 17:00:01,,,23.76,17
2025-10-21 17:00:01,,,23.78,17
2025-10-21 17:00:02,171,,,17
2025-10-21 17:00:02,,,23.77,17
2025-10-21 17:00:04,,24.92,,17
2025-10-21 17:00:04,,,23.74,17
2025-10-21 17:00:05,114,,,17
2025-10-21 17:00:05,,,23.76,17
2025-10-21 17:00:06,,,23.77,17
2025-10-21 17:00:06,,,23.78,17
2025-10-21 17:00:06,,24.94,,17
2025-10-21 17:00:08,224,,,17
2025-10-21 17:00:08,,,23.76,17
2025-10-21 17:00:08,,,23.81,17
2025-10-21 17:00:09,,,23.76,17
2025-10-21 17:00:09,,24.92,,17
2025-10-21 17:00:10,,,23.77,17
2025-10-21 17:00:11,300,,,17
2025-10-21 17:00:11,,,23.8,17
2025-10-21 17:00:11,,,23.77,17
2025-10-21 17:00:12,,,23.74,17
2025-10-21 17:00:13,,,23.77,17
2025-10-21 17:00:13,,,23.8,17
2025-10-21 17:00:14,468,,,17
2025-10-21 17:00:14,,,23.77,17
2025-10-21 17:00:15,,24.94,,17
2025-10-21 17:00:15,,,23.8,17
2025-10-21 17:00:16,,,23.74,17
2025-10-21 17:00:16,508,,,17
2025-10-21 17:00:17,,,23.73,17
2025-10-21 17:00:18,,,23.78,17
2025-10-21 17:00:18,,,23.74,17
2025-10-21 17:00:19,,,23.76,17
2025-10-21 17:00:19,259,,,17
2025-10-21 17:00:20,,,23.77,17
2025-10-21 17:00:20,,,23.76,17
2025-10-21 17:00:22,390,,,17
2025-10-21 17:00:23,,,23.78,17
2025-10-21 17:00:23,,,23.77,17
2025-10-21 17:00:24,,,23.8,17
2025-10-21 17:00:25,,,23.77,17
2025-10-21 17:00:25,298,,,17
2025-10-21 17:00:25,,,23.78,17
2025-10-21 17:00:26,,,23.81,17
2025-10-21 17:00:27,,,23.8,17
2025-10-21 17:00:27,,,23.77,17
2025-10-21 17:00:28,160,,,17
2025-10-21 17:00:28,,,23.78,17
2025-10-21 17:00:29,,,23.76,17
2025-10-21 17:00:29,,24.97,,17
2025-10-21 17:00:29,,,23.78,17
2025-10-21 17:00:31,178,,,17
2025-10-21 17:00:31,,,23.76,17
2025-10-21 17:00:32,,24.94,,17
2025-10-21 17:00:32,,,23.77,17
2025-10-21 17:00:33,,,23.74,17
2025-10-21 17:00:34,784,,,17
2025-10-21 17:00:34,,,23.76,17
2025-10-21 17:00:34,,,23.78,17
2025-10-21 17:00:35,,,23.8,17
2025-10-21 17:00:36,,,23.77,17
2025-10-21 17:00:36,783,,,17
2025-10-21 17:00:37,,,23.76,17
2025-10-21 17:00:39,645,,,17
2025-10-21 17:00:39,,,23.77,17
2025-10-21 17:00:39,,,23.78,17
2025-10-21 17:00:40,,,23.76,17
2025-10-21 17:00:42,277,,,17
2025-10-21 17:00:42,,,23.8,17
2025-10-21 17:00:43,,,23.74,17
2025-10-21 17:00:43,,,23.78,17
2025-10-21 17:00:44,,24.95,,17
2025-10-21 17:00:45,258,,,17
2025-10-21 17:00:45,,,23.76,17
2025-10-21 17:00:46,,,23.77,17
2025-10-21 17:00:47,,,23.81,17
2025-10-21 17:00:48,154,,,17
2025-10-21 17:00:49,,,23.76,17
2025-10-21 17:00:49,,24.97,,17
2025-10-21 17:00:50,,,23.78,17
2025-10-21 17:00:51,779,,,17
2025-10-21 17:00:51,,,23.76,17
2025-10-21 17:00:52,,24.95,,17
2025-10-21 17:00:52,,,23.77,17
2025-10-21 17:00:53,,,23.81,17
2025-10-21 17:00:53,,,23.78,17
2025-10-21 17:00:54,612,,,17
2025-10-21 17:00:54,,,23.77,17
2025-10-21 17:00:55,,24.97,,17
2025-10-21 17:00:55,,,23.76,17
2025-10-21 17:00:55,,,23.77,17
2025-10-21 17:00:56,,,23.78,17
2025-10-21 17:00:56,399,,,17
2025-10-21 17:00:57,,,23.77,17
2025-10-21 17:00:57,,,23.76,17
2025-10-21 17:00:58,,,23.77,17
2025-10-21 17:00:59,249,,,17
2025-10-21 17:00:59,,,23.76,17
2025-10-21 17:01:00,,,23.74,17
2025-10-21 17:01:00,,,23.8,17
2025-10-21 17:01:01,,24.98,,17
2025-10-21 17:01:01,,,23.78,17
2025-10-21 17:01:02,345,,,17
2025-10-21 17:01:03,,,23.77,17
2025-10-21 17:01:04,,,23.8,17
2025-10-21 17:01:04,,,23.74,17
2025-10-21 17:01:05,300,,,17
2025-10-21 17:01:05,,,23.78,17
2025-10-21 17:01:06,,,23.76,17
2025-10-21 17:01:08,425,,,17
2025-10-21 17:01:08,,,23.8,17
2025-10-21 17:01:09,,,23.76,17
2025-10-21 17:01:10,,,23.78,17
2025-10-21 17:01:11,266,,,17
2025-10-21 17:01:11,,,23.77,17
2025-10-21 17:01:11,,,23.78,17
2025-10-21 17:01:12,,24.95,,17
2025-10-21 17:01:12,,,23.8,17
2025-10-21 17:01:13,,,23.77,17
2025-10-21 17:01:14,184,,,17
2025-10-21 17:01:14,,,23.76,17
2025-10-21 17:01:14,,,23.74,17
2025-10-21 17:01:15,,25,,17
2025-10-21 17:01:15,,,23.73,17
2025-10-21 17:01:16,,,23.77,17
2025-10-21 17:01:16,206,,,17
2025-10-21 17:01:17,,,23.74,17
2025-10-21 17:01:18,,24.97,,17
2025-10-21 17:01:18,,,23.77,17
2025-10-21 17:01:18,,,23.8,17
2025-10-21 17:01:19,148,,,17
2025-10-21 17:01:19,,,23.76,17
2025-10-21 17:01:21,,,23.78,17
2025-10-21 17:01:22,191,,,17
2025-10-21 17:01:22,,,23.76,17
2025-10-21 17:01:23,,,23.8,17
2025-10-21 17:01:23,,,23.77,17
2025-10-21 17:01:23,,25,,17
2025-10-21 17:01:25,94,,,17
2025-10-21 17:01:25,,,23.76,17
2025-10-21 17:01:25,,,23.77,17
2025-10-21 17:01:26,,,23.78,17
2025-10-21 17:01:26,,24.98,,17
2025-10-21 17:01:28,,,23.8,17
2025-10-21 17:01:28,81,,,17
2025-10-21 17:01:28,,,23.74,17
2025-10-21 17:01:29,,,23.76,17
2025-10-21 17:01:30,,,23.77,17
